id_assinatura,id_fatura,status,total_paid
0B2EE0D83811496E98ECB330F0A37A5B,CBD762C4473B49D7B91D30A452A0F128,paid,"R$88,40"
631F86A7F16A4FD68BF6023C57CEC852,CCB7FC74FCFA459A9759C8AAEE724B87,paid,"R$102,00"
0454A0E73CF249198B22CFC8099CAAB6,2BD35A2327964C2487589061FBB8B36C,paid,"R$102,00"
3CA78F000DD048CF8A6901B359729920,57CAB013468F4D818694A7A906043C2E,paid,"R$68,25"
471BBC914E214FE49FCDCFC8C8BE29CF,63EEED1477F647EBA97FC254FF936CFC,paid,"R$88,40"
5EC83109FB394F87A1AB73D3D993A934,381AE5CB8DE6417BAE4D3368460B8E10,paid,"R$88,40"
86C83008C81C4F94BD3A1DC7CEEB5DAC,5D0C3E2EE18342B6BBECAAAE4BAF9644,paid,"R$88,40"
893115ACD2504EF293BCCDE9A8A059DF,8B340E722B4B40BC9956EB1ECC83EE1A,paid,"R$102,00"
0899E448DE5C4A9AB5026114154C67E4,5F6859D2B59A48FF987013531DFA6D89,paid,"R$122,40"
8D090D30DA3541E0A11A28B5F36B876C,DF8DDBBC32114FD784256422CA9C687E,paid,"R$88,40"
F4D15812B00D441C9BF758DEA5F4ABE2,966EA0ADE1BD40D2A159CB0EB3DAEBFB,paid,"R$88,00"
36CC9C5E671D4718B27127A89A6BE3AD,4F3F8AF5E61D42CCB4A12CF22E8DE20A,paid,"R$88,40"
36CC9C5E671D4718B27127A89A6BE3AD,956859CD7CB44129A8F8E0DD055733E5,paid,"R$88,40"
55AEACA10C7243A1969CBC6E3D232BF8,18D4BF9F6EAD44E99944E6A8662032AA,paid,"R$117,00"
242CD327EB2048739F300A81869E756D,E265874211954BBDABE90E82CF9AD673,paid,"R$91,09"
7FDFBD13C5244E419515FF24AB5BD535,E587A2A65C6B4C96AA2740F50FA3BF3C,paid,"R$88,40"
B1899CF734584AF68ADF02D84782F2D2,AE313405CB5C40D3A2B467E9A9BF28D3,paid,"R$122,40"
D114646D50DD4394BCD2B829A8B38583,4F158830DDEB4F77B09D795354A30119,paid,"R$68,25"
028CBF0B0025450D99AE01D5F26F74C8,CBDA8F3F32734FDFB1F9C3FEFF0180D0,paid,"R$129,20"
25B4DF326EE64EF3B3E3AB84A84CB025,99B22BD889134F9A9A1AB20309A343DD,paid,"R$105,15"
2C5DDD4DCA1948AFA81AA328706F81DD,74D49D268FE4462F94450A461DA79A34,paid,"R$91,15"
3B6A349689C7419DB15CECF54AB9B8E6,98A942D968A54ED1B8E35DCA2C0D9DCA,paid,"R$88,40"
4A6539EA1B034BF3A40084754CDA20BA,B8606233A77F4A5BA8C08F994EEE6F58,paid,"R$88,40"
D082CD001D654740A387D66B772472E3,54ECD7288D0E4CBF8559543B08327A34,paid,"R$129,20"
